Cofactor,Barrier (kcal/mol),Thermodynamic Results (kcal/mol)
A1a,22.225947132334113,-134.6943374
A5a,19.465049999882467,-140.867475
A5b,21.619884999934584,-137.7553888
A3b,26.623102326062508,-128.2432712
B2b,25.77905905083753,-128.1304803
B3a,22.337833327706903,-133.1344808
B6b,24.774524713051505,-129.9416957
D5b,22.437428422272205,-138.3884581
D3a,26.09681836050004,-132.1570431
D6a,23.655337297939695,-133.0679294
C1b,23.56483680824749,-130.1276251
C3b,26.95614500006195,-127.9363957
C6a,22.82468562584836,-132.3395143
E1a,24.577450476470403,-129.4105786
E1b,27.077357522095554,-126.1294028
E2a,26.654693807009608,-125.8520276
E2b,29.018486117827702,-122.7560995
E3a,25.436968543217517,-127.542198
E3b,27.0276792824734,-124.9311724
J1a,24.5913327987073,-130.6885288
J1b,26.96402360056527,-126.9890578
J5a,21.65847623802256,-135.9924275
J5b,22.76067999994848,-133.1865614
J4a,30.660277499933727,-124.3610919
F1a,23.31959566741716,-133.2799529
F3b,25.990671205101535,-128.4224078
F6a,24.866820951923728,-131.4566066
G3b,25.513209704542533,-128.9852731
G4a,26.374629911850207,-126.6577383
K1b,24.558781899278983,-129.6773516
K3a,25.57868032332044,-132.1195481
K3b,26.143869680468924,-128.4931359
K4b,27.49740011279937,-124.5607821
K6b,25.967626086436212,-129.9133112
