Cofactor,HOMO,LUMO,dG_C5_kcal,N1_NBO-q,Nsub_NBO-q,C2_NBO-q,C3_NBO-q,C3sub_NBO-q,C4_NBO-q,C5_NBO-q,C5sub_NBO-q,C6_NBO-q,N1_f+,Nsub_f+,C2_f+,C3_f+,C3sub_f+,C4_f+,C5_f+,C5sub_f+,C6_f+,N1_f-,Nsub_f-,C2_f-,C3_f-,C3sub_f-,C4_f-,C5_f-,C5sub_f-,C6_f-,C4H_f-,C4H_f+,C4H_NBO-q
c5H_c3Saldehyde_nPh,-0.2036,-0.0838,-124.82261382206345,-0.3467,0.13421,0.13338,-0.19766,-0.24991,-0.46504,-0.19389,0.24006,-0.06094,0.03575,-0.01506,0.2291,-0.03293,0.18894,-0.00689,0.08583,0.0156899999999999,-0.00042,0.05908,-0.0164399999999999,0.04508,0.06684,-0.09,-0.0116899999999999,0.05026,0.0124699999999999,-0.01075,0.026,0.0210749999999999,0.233435
c5Me_c3Sketone_nHP,-0.1954,-0.0722,-125.24981581268366,-0.33515,0.09877,0.12931,-0.20284,-0.02128,-0.46688,0.02529,-0.65343,-0.07264,0.0437099999999999,-0.01732,0.22769,-0.0370399999999999,0.17255,-0.0100399999999999,0.0832,-0.0075399999999999,-0.0052799999999999,0.12449,-0.0172299999999999,-0.02161,0.17958,-0.03073,-0.0473199999999999,0.1064699999999999,-0.0134,0.0263099999999999,0.0631899999999999,0.0210199999999999,0.230535
c5CF3_c3amide_nHP,-0.2084,-0.0453,-122.89564501354472,-0.3751,0.1023,0.0464,-0.18786,0.9505,-0.46397,-0.19475,0.62445,0.07585,-0.0138499999999999,-0.01284,0.10319,0.11411,0.0040299999999999,-0.0171799999999999,0.1000799999999999,0.08082,0.23137,0.1629699999999999,-0.00349,-0.00451,0.14789,-0.0082999999999999,-0.04793,0.18002,-0.0154799999999999,-0.0112799999999999,0.0685799999999999,0.0239749999999999,0.236235
c5CF3_c3nitrile_nPh,-0.2185,-0.0517,-117.12601313227788,-0.37407,0.13739,0.04426,-0.17864,0.95088,-0.43591,-0.2288,0.3241,0.09885,-0.0145899999999999,-0.0115299999999999,0.10616,0.11804,0.0032499999999999,-0.0163,0.11706,0.0502699999999999,0.24293,0.17423,-0.02264,0.0001299999999999,0.15591,-0.0093899999999998,-0.0464999999999999,0.18636,-0.02167,-0.0066099999999999,0.071915,0.0247049999999999,0.24239
c5CH3_c3CF3_nHP,-0.2204,-0.0881,-127.45416057191323,-0.38196,0.11128,0.05315,-0.2288,0.95065,-0.45976,-0.01673,-0.64981,-0.05383,0.0050499999999999,-0.01606,-0.0009399999999999,0.01788,0.0002699999999999,-0.0025999999999999,0.01418,-0.0010999999999999,-0.00422,0.17475,-0.0208399999999999,-0.01479,0.17152,-0.0089099999999999,-0.0500799999999999,0.15916,-0.02019,0.03076,0.0719199999999999,0.00603,0.225205
c5H_c3amide_nNiketEWG,-0.1942,-0.0167,-121.7216030441923,-0.36839,0.21592,0.06094,-0.16998,0.62571,-0.48461,-0.20387,0.24142,-0.05227,-0.01417,0.16929,0.06347,0.0743,0.0270899999999999,-0.0110099999999999,0.02074,0.0095399999999999,-0.0048999999999999,0.156,-0.03567,-0.00053,0.17411,-0.01668,-0.05096,0.16071,0.02607,0.0442599999999999,0.0760899999999999,0.0178799999999999,0.23879
c5H_c3nitro_nPh,-0.2172,-0.0608,-120.04388756357366,-0.3362,0.12979,0.11741,-0.01513,0.47806,-0.47772,-0.18974,0.24577,-0.05659,0.04714,-0.0176,0.22014,-0.01916,0.1057199999999999,-0.0086299999999999,0.0878,0.0165799999999999,-0.00576,0.13571,-0.0199299999999999,-0.02426,0.16717,-0.0096299999999999,-0.04752,0.1427,0.0248599999999999,0.04791,0.0734049999999999,0.0226849999999999,0.245455
m-PhOH,-0.2064,-0.053,-120.83823985839264,-0.36005,0.16331,0.11288,-0.22142,0.35998,-0.46917,0.01465,-0.65252,-0.06918,0.0147599999999999,-0.0042499999999999,0.23819,-0.00124,0.20829,-0.0075299999999999,0.08286,-0.0073799999999999,0.00637,0.1487699999999999,-0.02752,-0.0246799999999999,0.16834,0.0133499999999999,-0.04674,0.14385,-0.01897,0.05094,0.0708849999999999,0.02011,0.231205
p-PhF,-0.2356,-0.0966,-121.28037637326634,-0.35793,0.12402,0.1138,-0.22318,0.35893,-0.46893,0.01479,-0.6526,-0.06953,0.0177199999999999,-0.0076599999999999,0.23995,-0.0021999999999999,0.20947,-0.00807,0.08792,-0.0078899999999999,0.00737,0.14987,-0.0249,-0.0248599999999999,0.17096,0.0136199999999999,-0.04726,0.1447,-0.01907,0.0508599999999999,0.0716049999999999,0.0208799999999999,0.230925
p-PhMe,-0.2061,-0.0522,-121.98301956994692,-0.35739,0.12487,0.1146,-0.22491,0.3573,-0.46876,0.01393,-0.65259,-0.06898,0.01857,-0.00909,0.23957,-0.0033799999999999,0.20875,-0.00805,0.08841,-0.00794,0.0074899999999999,0.14839,-0.0229399999999999,-0.0254599999999999,0.16902,0.0144699999999999,-0.04626,0.14085,-0.01848,0.04695,0.0698999999999999,0.0208899999999999,0.230385
p-PhNO2,-0.2138,-0.1016,-117.32900884386618,-0.35477,0.19692,0.10393,-0.19795,0.37239,-0.47375,0.02636,-0.65327,-0.07277,-0.0026299999999999,0.09935,0.0044,0.02239,0.01472,-0.00401,0.01289,-0.0011299999999999,-0.00433,0.1408299999999999,-0.03743,-0.0198599999999999,0.15258,0.00812,-0.0453099999999999,0.14552,-0.0194799999999999,0.06229,0.0697749999999999,0.0074899999999999,0.2379399999999999
p-PhOMe,-0.2019,-0.0506,-122.42533969751094,-0.35505,0.10292,0.11487,-0.2272,0.35549,-0.46847,0.01339,-0.65259,-0.0688,0.02211,-0.0132899999999999,0.2413,-0.00442,0.2094299999999999,-0.00861,0.09379,-0.00848,0.0085999999999999,0.1425399999999999,-0.0127999999999999,-0.02555,0.16473,0.01551,-0.04433,0.1338299999999999,-0.0174499999999999,0.04145,0.066915,0.0216499999999999,0.229825
